Word	product	level
B2	Bacteriocin carnobacteriocin B2	1
B3	Spore germination protein B3	1
BJ	Cytochrome P450 BJ-1	1
BL	Hemolysin BL-binding component	1
BM	Cytochrome P450(BM-1)	1
BN	Ribonuclease BN	1
C1	Botulinum neurotoxin type C1	1
C2	Small heat shock protein C2	1
C3	Small heat shock protein C3	1
C4	Small heat shock protein C4	1
CO	CO-responsive transcriptional regulator RcoM	1
Cl	H(+)/Cl(-) exchange transporter ClcA	1
Co	Co-chaperone protein HscB	1
Cu	Superoxide dismutase [Cu-Zn]	2
D1	Fimbrial protein MS11-D1	1
D2	Photosystem II D2 protein	1
DR	Lacticin-481/lactococcin-DR transport/processing ATP-binding protein lcnDR3	1
Do	Serine protease Do-like HtrA	1
E1	Colicin-E1	1
E2	Lysis protein for colicins E2 and E3	1
E3	Colicin-E3	1
E7	Colicin-E7	1
E8	Colicin-E8	1
E9	Colicin-E9	1
EA	Outer membrane protein Omp-EA	1
F1	F1 capsule antigen	1
FC	IgA FC receptor	1
Fe	Fe(3+) ions import ATP-binding protein FbpC	2
G2	Carboxypeptidase G2	1
H1	Histone H1-like protein HC1	1
HA	Hemagglutinin component HA-17	1
HF	Enterocin-HF	1
HI	Ribonuclease HI	1
HU	DNA-binding protein HU	1
IA	Inactive signal peptidase IA	1
IB	Signal peptidase IB	1
IF	Translation initiation factor IF-1	1
II	Cell surface antigen I/II	1
IV	DNA polymerase IV	1
IX	Photosystem I reaction center subunit IX	1
Ia	Colicin-Ia	1
Ib	Colicin-Ib	1
J1	Ribonuclease J1	1
J2	Ribonuclease J2	1
KA	Spore germination protein KA	1
KB	Spore germination protein KB	1
KC	Spore germination protein KC	1
Ku	Non-homologous end joining protein Ku	1
L1	50S ribosomal protein L1	1
L2	50S ribosomal protein L2	1
L3	50S ribosomal protein L3	1
L4	50S ribosomal protein L4	1
L5	50S ribosomal protein L5	1
L6	50S ribosomal protein L6	1
L7	50S ribosomal protein L7/L12	1
L9	50S ribosomal protein L9	1
M5	Ribonuclease M5	1
MR	Major MR/P fimbria protein	1
Mg	Mg(2+)/citrate complex secondary transporter	2
Mn	Superoxide dismutase [Mn/Fe]	2
Mu	Cryptic Mu-phage protein com	1
N4	Bacteriophage N4 adsorption protein A	1
NR	Nitrogen regulation protein NR(I)	1
NS	DNA-binding protein H-NS	1
Na	Uncharacterized Na(+)/H(+) exchanger MT2345	2
Ni	Superoxide dismutase [Ni]	2
P1	Adhesin P1	1
P2	Outer membrane protein P2	1
P5	Outer membrane protein P5	1
P6	Outer membrane protein P6	1
P7	Polysialic acid biosynthesis protein P7	1
PA	Bacteriocin pediocin PA-1	1
PE	Uncharacterized PE family protein PE15	1
PH	Ribonuclease PH	2
R1	Gingipain R1	1
R2	Gingipain R2	1
S1	30S Ribosomal protein S1	1
S2	30S ribosomal protein S2	1
S3	30S ribosomal protein S3	1
S4	30S ribosomal protein S4	1
S5	30S ribosomal protein S5	1
S6	30S ribosomal protein S6	1
S7	30S ribosomal protein S7	1
S8	30S ribosomal protein S8	1
S9	30S ribosomal protein S9	1
SA	Spore coat protein SA	1
SI	Glucosyltransferase-SI	1
T4	Bacteriophage T4 late gene expression-blocking protein	1
T6	Trypsin-resistant surface T6 protein	1
T7	Phage T7 exclusion protein	1
Ts	Elongation factor Ts	1
Tu	Elongation factor Tu	1
UV	Putative UV-damage repair protein UvrX	2
V1	Streptavidin-V1	1
V2	Streptavidin-V2	1
VI	Putative type VI secretion system protein VgrGA	1
Vi	Vi polysaccharide biosynthesis protein TviA	1
WD	Uncharacterized WD repeat-containing protein DR_1725	1
XA	Spore germination protein XA	1
XB	Spore germination protein XB	1
XC	Spore germination protein XC	1
XI	Photosystem I reaction center subunit XI	1
Zn	Superoxide dismutase [Cu-Zn]	2
b6	Cytochrome b6	1
c1	Cytochrome b/c1	1
c2	Cytochrome c2	1
c3	Cytochrome c3	1
c4	Cytochrome c4	1
c6	Cytochrome c6	1
c7	Cytochrome c7	1
co	RsbT co-antagonist protein RsbRA	1
cy	Cytochrome c-type cyt cy	1
di	Cyclic di-GMP binding protein TDE_0214	2
do	Probable serine protease do-like	1
in	Ferredoxin-like protein in nif region	2
of	HTH-type transcriptional repressor of iron proteins A	2
pH	pH 6 antigen	2
sn	sn-glycerol-3-phosphate import ATP-binding protein UgpC	1
109	Cytochrome P450 109	1
111	Uncharacterized protein pXO1-111/BXA0163/GBAA_pXO1_0163	1
116	Cytochrome P450 116	1
121	Cytochrome P450 121	1
126	Bacteriocin piscicolin-126	1
130	Cytochrome P450 130	1
141	Uncharacterized protein pXO1-141/BXA0211/GBAA_pXO1_0211	1
144	Cytochrome P450 144	1
16O	General stress protein 16O	1
16U	General stress protein 16U	1
17M	General stress protein 17M	1
1Ab	Type-1Ab cytolytic delta-endotoxin	1
1Ba	Type-1Ba cytolytic delta-endotoxin	1
2.1	"M protein, serotype 2.1"	1
2.2	"M protein, serotype 2.2"	1
20U	General stress protein 20U	1
296	Vegetative protein 296	1
2Aa	Type-2Aa cytolytic delta-endotoxin	1
2Ba	Type-2Ba cytolytic delta-endotoxin	1
2Bb	Type-2Bb cytolytic delta-endotoxin	1
2Fe	"Ferredoxin, 2Fe-2S"	2
30S	30S Ribosomal protein S1	2
381	Lys-gingipain 381	2
481	Lacticin 481/lactococcin biosynthesis protein lcnDR2	2
50S	50S ribosomal protein L1	2
550	Cytochrome c-550	2
551	Cytochrome c-551	2
552	Cytochrome c-552	2
