*sample_name	*sample_title	description	*organism	*taxonomy_id	bioproject_id	locus_tag_prefix	strain	breed	cultivar	isolate	label	biomaterial_provider	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*lat_lon	*project_name	*isol_growth_condt	ref_biomaterial	*num_replicons	*estimated_size	*ploidy	*propagation	biotic_relationship	extrachrom_elements	health_disease_stat	host	host_spec_range	pathogenicity	samp_collect_device	samp_mat_process	sample_size	source_material_id	subspecf_gen_lin	trophic_level
A.MELLIFERA.TEX.118-4104	Apis mellifera. Texas. Individual name 118-4104		Apis mellifera	7460	PRJDB3873					118-4104			1994	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.119-4109	Apis mellifera. Texas. Individual name 119-4109		Apis mellifera	7460	PRJDB3873					119-4109			1994	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.12-708	Apis mellifera. Texas. Individual name 12-708		Apis mellifera	7460	PRJDB3873					12-708			1992	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.120-4116	Apis mellifera. Texas. Individual name 120-4116		Apis mellifera	7460	PRJDB3873					120-4116			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.121-4140	Apis mellifera. Texas. Individual name 121-4140		Apis mellifera	7460	PRJDB3873					121-4140			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.122-4148	Apis mellifera. Texas. Individual name 122-4148		Apis mellifera	7460	PRJDB3873					122-4148			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.123-4181	Apis mellifera. Texas. Individual name 123-4181		Apis mellifera	7460	PRJDB3873					123-4181			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.124-4086	Apis mellifera. Texas. Individual name 124-4086		Apis mellifera	7460	PRJDB3873					124-4086			1992	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.126-8392	Apis mellifera. Texas. Individual name 126-8392		Apis mellifera	7460	PRJDB3873					126-8392			1992	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.127-8457	Apis mellifera. Texas. Individual name 127-8457		Apis mellifera	7460	PRJDB3873					127-8457			1993	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.128-4151	Apis mellifera. Texas. Individual name 128-4151		Apis mellifera	7460	PRJDB3873					128-4151			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.129-4154	Apis mellifera. Texas. Individual name 129-4154		Apis mellifera	7460	PRJDB3873					129-4154			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.13-709	Apis mellifera. Texas. Individual name 13-709		Apis mellifera	7460	PRJDB3873					13-709			1992	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
